symbol
BTC-USD
ETH-USD
USDT-USD
BNB-USD
XRP-USD
USDC-USD
SOL-USD
STETH-USD
TRX-USD
WTRX-USD
DOGE-USD
ADA-USD
WSTETH-USD
BCH-USD
WBTC-USD
WBETH-USD
WETH-USD
AETHWETH-USD
LINK-USD
WEETH-USD
LEO-USD
XLM-USD
XMR-USD
ZEC-USD
LTC-USD
BTCB-USD
AVAX-USD
AETHUSDT-USD
DAI-USD
HBAR-USD
SHIB-USD
PYUSD-USD
CRO-USD
SUSDE-USD
DOT-USD
AAVE-USD
BGB-USD
OKB-USD
NEAR-USD
ETC-USD
BFUSD-USD
ENA-USD
JITOSOL-USD
ICP-USD
JLP-USD
XAUT-USD
SYRUPUSDC-USD
PAXG-USD
ONDO-USD
WLD-USD
WBNB-USD
KCS-USD
RETH-USD
KAS-USD
BNSOL-USD
RSETH-USD
SLISBNB-USD
ALGO-USD
FBTC-USD
ATOM-USD
LSETH-USD
RLUSD-USD
VET-USD
SOLVBTC-USD
WFLR-USD
FLR-USD
SLISBNBX-USD
FIL-USD
QNT-USD
XDC-USD
GT-USD
SEI-USD
USDCE-USD
KHYPE-USD
RENDER-USD
USDD-USD
BONK-USD
CAKE-USD
FDUSD-USD
BDX-USD
EZETH-USD
VBTC-USD
FTN-USD
IP-USD
JUPSOL-USD
NEXO-USD
OSETH-USD
OP-USD
SYRUPUSDT-USD
CRV-USD
FET-USD
DASH-USD
VBNB-USD
XTZ-USD
INJ-USD
LDO-USD
VIRTUAL-USD
STKAAVE-USD
WXTZ-USD
USDAI-USD
TUSD-USD
ETHFI-USD
AB-USD
MERL-USD
TIA-USD
MSOL-USD
ETHX-USD
KAIA-USD
GHO-USD
TEL-USD
FLOKI-USD
TWT-USD
IOTA-USD
ENS-USD
BTT-USD
CBETH-USD
BAT-USD
WIF-USD
BSV-USD
WZEDX-USD
SUN-USD
CFX-USD
JST-USD
PYTH-USD
FARTCOIN-USD
ZBU-USD
CRVUSD-USD
PENDLE-USD
DCR-USD
THETA-USD
EURC-USD
EETH-USD
PIPPIN-USD
SAND-USD
HNT-USD
CHZ-USD
GNO-USD
GALA-USD
SAVAX-USD
FOLKS-USD
JASMY-USD
FLOW-USD
BETH-USD
SYRUP-USD
WCHZ-USD
CMETH-USD
DEXE-USD
BORG-USD
ASBNB-USD
NEO-USD
MANA-USD
RAY-USD
FRAX-USD
XPL-USD
GTBTC-USD
UNIBTC-USD
INF-USD
AR-USD
RBTC-USD
TRAC-USD
B-USD
FLUID-USD
VUSDT-USD
WAVAX-USD
LUNC-USD
ULTIMA-USD
XEC-USD
RUNE-USD
BBSOL-USD
PUMPBTC-USD
GLM-USD
EIGEN-USD
KMNO-USD
EGLD-USD
ZBCN-USD
UDS-USD
MX-USD
WFTM-USD
W-USD
FTT-USD
WFI-USD
RSR-USD
WEMIX-USD
XSOLVBTC-USD
ALE-USD
CVX-USD
AMP-USD
LPT-USD
ZANO-USD
SFP-USD
AXS-USD
PROM-USD
H-USD
JSOL-USD
KOGE-USD
JTO-USD
ZEN-USD
SNX-USD
CCD-USD
QTUM-USD
SOSO-USD
DYDX-USD
BSOL-USD
TFUEL-USD
KITE-USD
ALCH-USD
KAITO-USD
AIOZ-USD
WPLS-USD
TURBO-USD
CTC-USD
QRL-USD
KTA-USD
KSM-USD
GAS-USD
DHN-USD
GOMINING-USD
BMX-USD
FLZ-USD
SHFL-USD
YFI-USD
AKT-USD
CKB-USD
RVN-USD
CDCETH-USD
T-USD
LINEA-USD
ZRX-USD
PUFETH-USD
BABYDOGE-USD
AWE-USD
RLB-USD
MINA-USD
NXPC-USD
FRXUSD-USD
RIVER-USD
EDGESOL-USD
YZY-USD
EBTC-USD
DGB-USD
VCNT-USD
MNEE-USD
VELO-USD
ZIL-USD
MOG-USD
XVG-USD
KAVA-USD
